Data;Preco
04/01/2017;R$ 3.66
05/01/2017;R$ 3.65
06/01/2017;R$ 3.71
09/01/2017;R$ 3.67
10/01/2017;R$ 3.65
11/01/2017;R$ 3.69
12/01/2017;R$ 3.73
13/01/2017;R$ 3.73
16/01/2017;R$ 3.70
17/01/2017;R$ 3.67
18/01/2017;R$ 3.69
19/01/2017;R$ 3.66
20/01/2017;R$ 3.72
23/01/2017;R$ 3.66
24/01/2017;R$ 3.69
25/01/2017;R$ 3.65
26/01/2017;R$ 3.70
27/01/2017;R$ 3.69
30/01/2017;R$ 3.66
31/01/2017;R$ 3.66
01/02/2017;R$ 3.68
02/02/2017;R$ 3.66
03/02/2017;R$ 3.77
06/02/2017;R$ 3.66
07/02/2017;R$ 3.66
08/02/2017;R$ 3.64
09/02/2017;R$ 3.67
10/02/2017;R$ 3.67
13/02/2017;R$ 3.66
14/02/2017;R$ 3.63
15/02/2017;R$ 3.67
16/02/2017;R$ 3.65
17/02/2017;R$ 3.68
20/02/2017;R$ 3.61
21/02/2017;R$ 3.64
22/02/2017;R$ 3.63
23/02/2017;R$ 3.67
27/02/2017;R$ 3.70
28/02/2017;R$ 3.68
01/03/2017;R$ 3.71
02/03/2017;R$ 3.59
03/03/2017;R$ 3.65
06/03/2017;R$ 3.57
07/03/2017;R$ 3.58
08/03/2017;R$ 3.55
09/03/2017;R$ 3.64
10/03/2017;R$ 3.72
13/03/2017;R$ 3.54
14/03/2017;R$ 3.52
15/03/2017;R$ 3.57
16/03/2017;R$ 3.53
17/03/2017;R$ 3.55
20/03/2017;R$ 3.53
21/03/2017;R$ 3.52
22/03/2017;R$ 3.50
23/03/2017;R$ 3.57
24/03/2017;R$ 3.59
27/03/2017;R$ 3.55
28/03/2017;R$ 3.48
29/03/2017;R$ 3.53
30/03/2017;R$ 3.50
31/03/2017;R$ 3.59
03/04/2017;R$ 3.51
04/04/2017;R$ 3.49
05/04/2017;R$ 3.47
06/04/2017;R$ 3.53
07/04/2017;R$ 3.58
10/04/2017;R$ 3.50
11/04/2017;R$ 3.47
12/04/2017;R$ 3.52
13/04/2017;R$ 3.46
14/04/2017;R$ 3.53
17/04/2017;R$ 3.48
18/04/2017;R$ 3.45
19/04/2017;R$ 3.48
20/04/2017;R$ 3.52
21/04/2017;R$ 3.63
24/04/2017;R$ 3.47
25/04/2017;R$ 3.46
26/04/2017;R$ 3.48
